validated,Measurement System,Domain,Item ID,Stem,Context,DataType,Responses,Inst,hcp_variable,action_requested,requested_python,specialty_code,hcp_variable_upload,nda_structure,nda_element,template,inst_short,Source,description,valueRange,notes
,NIH Toolbox,Emotion,Anxiety60,In the past 7 days:,I had difficulty sleeping.,integer,"1=Never
2=Rarely
3=Sometimes
4=Often
5=Always
",NIH Toolbox Fear-Affect CAT Age 18+ v2.0,anxiety60,,"studydata['edanx49']=studydata['anxiety60'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')",,edanx49,preda01,edanx49,Fear-Affect.preda01_template,Fear-Affect,HCPD HCPA,In the past 7 days... I had difficulty sleeping,1::5,1=Never; 2=Rarely; 3=Sometimes; 4=Often; 5=Always
,NIH Toolbox,Emotion,Anxiety61,In the past 7 days:,I had trouble relaxing.,integer,"1=Never
2=Rarely
3=Sometimes
4=Often
5=Always
",NIH Toolbox Fear-Affect CAT Age 18+ v2.0,anxiety61,,"studydata['edanx51']=studydata['anxiety61'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')",,edanx51,preda01,edanx51,Fear-Affect.preda01_template,Fear-Affect,HCPD HCPA,In the past 7 days... I had trouble relaxing,1::5,1=Never; 2=Rarely; 3=Sometimes; 4=Often; 5=Always
,NIH Toolbox,Emotion,Anxiety62,In the past 7 days:,I felt uneasy.,integer,"1=Never
2=Rarely
3=Sometimes
4=Often
5=Always
",NIH Toolbox Fear-Affect CAT Age 18+ v2.0,anxiety62,,"studydata['edanx53']=studydata['anxiety62'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')",,edanx53,preda01,edanx53,Fear-Affect.preda01_template,Fear-Affect,HCPD HCPA,In the past 7 days... I felt uneasy,1::5,1=Never; 2=Rarely; 3=Sometimes; 4=Often; 5=Always
,NIH Toolbox,Emotion,Anxiety63,In the past 7 days:,I felt tense.,integer,"1=Never
2=Rarely
3=Sometimes
4=Often
5=Always
",NIH Toolbox Fear-Affect CAT Age 18+ v2.0,anxiety63,,"studydata['edanx54']=studydata['anxiety63'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')",,edanx54,preda01,edanx54,Fear-Affect.preda01_template,Fear-Affect,HCPD HCPA,In the past 7 days... I felt tense,1::5,1=Never; 2=Rarely; 3=Sometimes; 4=Often; 5=Always
,NIH Toolbox,Emotion,Anxiety64,In the past 7 days:,I had difficulty calming down.,integer,"1=Never
2=Rarely
3=Sometimes
4=Often
5=Always
",NIH Toolbox Fear-Affect CAT Age 18+ v2.0,anxiety64,,"studydata['edanx55']=studydata['anxiety64'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')",,edanx55,preda01,edanx55,Fear-Affect.preda01_template,Fear-Affect,HCPD HCPA,In the past 7 days... I had difficulty calming down,1::5,1=Never; 2=Rarely; 3=Sometimes; 4=Often; 5=Always
,,,,,,,,NIH Toolbox Fear-Affect CAT Age 18+ v2.0,Inst,rename to version_form,studydata['version_form']=studydata['Inst'],,version_form,preda01,version_form,,Fear-Affect,,Form used/assessment name,,
,,,,,,,,NIH Toolbox Fear-Affect CAT Age 18+ v2.0,Assessment_Name,"strip 'Assessment' from text, and rename to fneproc","studydata['fneproc']=studydata['Assessment_Name'].str.replace('Assessment ','')",,fneproc,preda01,fneproc,,Fear-Affect,,name of trial procedure being run,,
,,,,,,,,NIH Toolbox Fear-Affect CAT Age 18+ v2.0,respondent,rename to comqother,studydata['comqother']=studydata['respondent'],,comqother,preda01,comqother,,Fear-Affect,,Respondent - Other (text),,
,,,,,,,,NIH Toolbox Fear-Affect CAT Age 18+ v2.0,ItmCnt,,"studydata['wcst_ni']=studydata.ItmCnt.round().fillna(-9999).astype(int).astype(str).str.replace('-9999','')",,wcst_ni,preda01,wcst_ni,Fear-Affect.preda01_template,Fear-Affect,HCPD HCPA,Number of Items,,
,,,,,,,,NIH Toolbox Fear-Affect CAT Age 18+ v2.0,Language,,studydata['interview_language']=studydata['Language'],,interview_language,preda01,interview_language,Fear-Affect.preda01_template,Fear-Affect,HCPD HCPA,Language Used in the Interview,,
,,,,,,,,NIH Toolbox Fear-Affect CAT Age 18+ v2.0,RawScore,,"studydata['anx_rs']=studydata.RawScore.round().fillna(-9999).astype(int).astype(str).str.replace('-9999','')",,anx_rs,preda01,anx_rs,Fear-Affect.preda01_template,Fear-Affect,HCPD HCPA,PROMIS Anxiety raw score,,
,,,,,,,,NIH Toolbox Fear-Affect CAT Age 18+ v2.0,SE,,studydata['anx_se']=studydata['SE'],,anx_se,preda01,anx_se,Fear-Affect.preda01_template,Fear-Affect,HCPD HCPA,PROMIS Anxiety standard error,,
,,,,,,,,NIH Toolbox Fear-Affect CAT Age 18+ v2.0,Theta,,studydata['anx_theta']=studydata['Theta'],,anx_theta,preda01,anx_theta,Fear-Affect.preda01_template,Fear-Affect,HCPD HCPA,PROMIS Anxiety Theta,,
,,,,,,,,NIH Toolbox Fear-Affect CAT Age 18+ v2.0,TScore,,studydata['anx_ts']=studydata['TScore'],,anx_ts,preda01,anx_ts,Fear-Affect.preda01_template,Fear-Affect,HCPD HCPA,PROMIS Anxiety T score,,
,NIH Toolbox,Emotion,PedProxAnx29,Please indicate how often or true the behavior is of your child.,Worries about things in the future.,integer,"0=Never or not true
1=Sometimes or somewhat true
2=Often or very true
",NIH Toolbox Fear-Over Anxious Parent Report FF Ages 3-7 v2.0,pedproxanx29,,"studydata['pedproxanx29']=studydata['pedproxanx29'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')",,pedproxanx29,tlbx_fearanx01,pedproxanx29,Fear_OverAnxious.tlbx_fearanx01_template.csv,Fear_OverAnxious,HCPD,Please indicate how often or true the behavior is of your child. Worries about things in the future.,0::2,0=Never or not true; 1=Sometimes or somewhat true; 2=Often or very true
,NIH Toolbox,Emotion,PedProxAnx31,Please indicate how often or true the behavior is of your child.,Worries about past behavior.,integer,"0=Never or not true
1=Sometimes or somewhat true
2=Often or very true
",NIH Toolbox Fear-Over Anxious Parent Report FF Ages 3-7 v2.0,pedproxanx31,,"studydata['pedproxanx31']=studydata['pedproxanx31'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')",,pedproxanx31,tlbx_fearanx01,pedproxanx31,Fear_OverAnxious.tlbx_fearanx01_template.csv,Fear_OverAnxious,HCPD,Please indicate how often or true the behavior is of your child. Worries about past behavior.,0::2,0=Never or not true; 1=Sometimes or somewhat true; 2=Often or very true
,NIH Toolbox,Emotion,PedProxAnx32,Please indicate how often or true the behavior is of your child.,Worries about doing better at things.,integer,"0=Never or not true
1=Sometimes or somewhat true
2=Often or very true
",NIH Toolbox Fear-Over Anxious Parent Report FF Ages 3-7 v2.0,pedproxanx32,,"studydata['pedproxanx32']=studydata['pedproxanx32'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')",,pedproxanx32,tlbx_fearanx01,pedproxanx32,Fear_OverAnxious.tlbx_fearanx01_template.csv,Fear_OverAnxious,HCPD,Please indicate how often or true the behavior is of your child. Worries about doing better at things.,0::2,0=Never or not true; 1=Sometimes or somewhat true; 2=Often or very true
,NIH Toolbox,Emotion,PedProxAnx35,Please indicate how often or true the behavior is of your child.,Is self-conscious or easily embarrassed.,integer,"0=Never or not true
1=Sometimes or somewhat true
2=Often or very true
",NIH Toolbox Fear-Over Anxious Parent Report FF Ages 3-7 v2.0,pedproxanx35,,"studydata['pedproxanx35']=studydata['pedproxanx35'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')",,pedproxanx35,tlbx_fearanx01,pedproxanx35,Fear_OverAnxious.tlbx_fearanx01_template.csv,Fear_OverAnxious,HCPD,Please indicate how often or true the behavior is of your child. Is self-conscious or easily embarrassed.,0::2,0=Never or not true; 1=Sometimes or somewhat true; 2=Often or very true
,NIH Toolbox,Emotion,PedProxAnx36,Please indicate how often or true the behavior is of your child.,Needs to be told over and over that things are okay.,integer,"0=Never or not true
1=Sometimes or somewhat true
2=Often or very true
",NIH Toolbox Fear-Over Anxious Parent Report FF Ages 3-7 v2.0,pedproxanx36,,"studydata['pedproxanx36']=studydata['pedproxanx36'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')",,pedproxanx36,tlbx_fearanx01,pedproxanx36,Fear_OverAnxious.tlbx_fearanx01_template.csv,Fear_OverAnxious,HCPD,Please indicate how often or true the behavior is of your child. Needs to be told over and over that things are okay.,0::2,0=Never or not true; 1=Sometimes or somewhat true; 2=Often or very true
,NIH Toolbox,Emotion,PedProxAnx37,Please indicate how often or true the behavior is of your child.,"Is nervous, high strung or tense.",integer,"0=Never or not true
1=Sometimes or somewhat true
2=Often or very true
",NIH Toolbox Fear-Over Anxious Parent Report FF Ages 3-7 v2.0,pedproxanx37,,"studydata['pedproxanx37']=studydata['pedproxanx37'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')",,pedproxanx37,tlbx_fearanx01,pedproxanx37,Fear_OverAnxious.tlbx_fearanx01_template.csv,Fear_OverAnxious,HCPD,"Please indicate how often or true the behavior is of your child. Is nervous, high strung or tense.",0::2,0=Never or not true; 1=Sometimes or somewhat true; 2=Often or very true
,,,,,,,,NIH Toolbox Fear-Over Anxious Parent Report FF Ages 3-7 v2.0,Inst,rename to version_form,studydata['version_form']=studydata['Inst'],,version_form,tlbx_fearanx01,version_form,,Fear_OverAnxious,,Form used/assessment name,,
,,,,,,,,NIH Toolbox Fear-Over Anxious Parent Report FF Ages 3-7 v2.0,Assessment_Name,"strip 'Assessment' from text, and rename to fneproc","studydata['fneproc']=studydata['Assessment_Name'].str.replace('Assessment ','')",,fneproc,tlbx_fearanx01,fneproc,,Fear_OverAnxious,,name of trial procedure being run,,
,,,,,,,,NIH Toolbox Fear-Over Anxious Parent Report FF Ages 3-7 v2.0,respondent,rename to comqother,studydata['comqother']=studydata['respondent'],,comqother,tlbx_fearanx01,comqother,,Fear_OverAnxious,,Respondent - Other (text),,
,,,,,,,,NIH Toolbox Fear-Over Anxious Parent Report FF Ages 3-7 v2.0,Fully_Corrected_T_score,,studydata['nih_tlbx_fctsc']=studydata['Fully_Corrected_T_score'],,nih_tlbx_fctsc,tlbx_fearanx01,nih_tlbx_fctsc,Fear_OverAnxious.tlbx_fearanx01_template.csv,Fear_OverAnxious,HCPD,Fully-Corrected T-Score,0::120,
,,,,,,,,NIH Toolbox Fear-Over Anxious Parent Report FF Ages 3-7 v2.0,ItmCnt,,"studydata['wcst_ni']=studydata.ItmCnt.round().fillna(-9999).astype(int).astype(str).str.replace('-9999','')",,wcst_ni,tlbx_fearanx01,wcst_ni,Fear_OverAnxious.tlbx_fearanx01_template.csv,Fear_OverAnxious,HCPD,Number of Items,,
,,,,,,,,NIH Toolbox Fear-Over Anxious Parent Report FF Ages 3-7 v2.0,Language,,studydata['interview_language']=studydata['Language'],,interview_language,tlbx_fearanx01,interview_language,Fear_OverAnxious.tlbx_fearanx01_template.csv,Fear_OverAnxious,HCPD,Language Used in the Interview,,
,,,,,,,,NIH Toolbox Fear-Over Anxious Parent Report FF Ages 3-7 v2.0,RawScore,,"studydata['nih_tlbx_rawscore']=studydata['RawScore'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')",,nih_tlbx_rawscore,tlbx_fearanx01,nih_tlbx_rawscore,Fear_OverAnxious.tlbx_fearanx01_template.csv,Fear_OverAnxious,HCPD,RawScore,,
,,,,,,,,NIH Toolbox Fear-Over Anxious Parent Report FF Ages 3-7 v2.0,SE,,studydata['nih_tlbx_se']=studydata['SE'],,nih_tlbx_se,tlbx_fearanx01,nih_tlbx_se,Fear_OverAnxious.tlbx_fearanx01_template.csv,Fear_OverAnxious,HCPD,Standard Error,,999=NA/NK/missing
,,,,,,,,NIH Toolbox Fear-Over Anxious Parent Report FF Ages 3-7 v2.0,Theta,,studydata['nih_tlbx_theta']=studydata['Theta'],,nih_tlbx_theta,tlbx_fearanx01,nih_tlbx_theta,Fear_OverAnxious.tlbx_fearanx01_template.csv,Fear_OverAnxious,HCPD,Theta,,999=NA/NK/missing
,,,,,,,,NIH Toolbox Fear-Over Anxious Parent Report FF Ages 3-7 v2.0,TScore,,studydata['nih_tlbx_tscore']=studydata['TScore'],,nih_tlbx_tscore,tlbx_fearanx01,nih_tlbx_tscore,Fear_OverAnxious.tlbx_fearanx01_template.csv,Fear_OverAnxious,HCPD,T-score,0::200; 999,999=NA/NK/missing
,,,,,,,,NIH Toolbox Fear-Over Anxious Parent Report FF Ages 3-7 v2.0,dummy_00110,,studydata['nih_tlbx_agegencsc']='999',,nih_tlbx_agegencsc,tlbx_fearanx01,nih_tlbx_agegencsc,,Fear_OverAnxious,,Age-Gender-Corrected T-score,0::250; 999,999=NA/NK/missing
,NIH Toolbox,Emotion,PedProxAnx38,Please indicate how often or true the behavior is of your child.,Worries that something bad will happen to people he/she is close to.,integer,"0=Never or not true
1=Sometimes or somewhat true
2=Often or very true
",NIH Toolbox Fear-Separation Anxiety Parent Report FF Ages 3-7 v2.0,pedproxanx38,,"studydata['pedproxanx38']=studydata['pedproxanx38'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')",,pedproxanx38,tlbx_fearanx01,pedproxanx38,Fear_SeparationAnxiety.tlbx_fearanx01_template.csv,Fear_SeparationAnxiety,HCPD,Please indicate how often or true the behavior is of your child. Worries that something bad will happen to people he/she is close to.,0::2,0=Never or not true; 1=Sometimes or somewhat true; 2=Often or very true
,NIH Toolbox,Emotion,PedProxAnx39,Please indicate how often or true the behavior is of your child.,Worries about being separated from loved ones.,integer,"0=Never or not true
1=Sometimes or somewhat true
2=Often or very true
",NIH Toolbox Fear-Separation Anxiety Parent Report FF Ages 3-7 v2.0,pedproxanx39,,"studydata['pedproxanx39']=studydata['pedproxanx39'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')",,pedproxanx39,tlbx_fearanx01,pedproxanx39,Fear_SeparationAnxiety.tlbx_fearanx01_template.csv,Fear_SeparationAnxiety,HCPD,Please indicate how often or true the behavior is of your child. Worries about being separated from loved ones.,0::2,0=Never or not true; 1=Sometimes or somewhat true; 2=Often or very true
,NIH Toolbox,Emotion,PedProxAnx40,Please indicate how often or true the behavior is of your child.,Avoids school to stay home.,integer,"0=Never or not true
1=Sometimes or somewhat true
2=Often or very true
",NIH Toolbox Fear-Separation Anxiety Parent Report FF Ages 3-7 v2.0,pedproxanx40,,"studydata['pedproxanx40']=studydata['pedproxanx40'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')",,pedproxanx40,tlbx_fearanx01,pedproxanx40,Fear_SeparationAnxiety.tlbx_fearanx01_template.csv,Fear_SeparationAnxiety,HCPD,Please indicate how often or true the behavior is of your child. Avoids school to stay home.,0::2,0=Never or not true; 1=Sometimes or somewhat true; 2=Often or very true
,NIH Toolbox,Emotion,PedProxAnx43,Please indicate how often or true the behavior is of your child.,Has nightmares about being abandoned.,integer,"0=Never or not true
1=Sometimes or somewhat true
2=Often or very true
",NIH Toolbox Fear-Separation Anxiety Parent Report FF Ages 3-7 v2.0,pedproxanx43,,"studydata['pedproxanx43']=studydata['pedproxanx43'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')",,pedproxanx43,tlbx_fearanx01,pedproxanx43,Fear_SeparationAnxiety.tlbx_fearanx01_template.csv,Fear_SeparationAnxiety,HCPD,Please indicate how often or true the behavior is of your child. Has nightmares about being abandoned.,0::2,0=Never or not true; 1=Sometimes or somewhat true; 2=Often or very true
,NIH Toolbox,Emotion,PedProxAnx44,Please indicate how often or true the behavior is of your child.,Complains of feeling sick before separating from those he/she is close to.,integer,"0=Never or not true
1=Sometimes or somewhat true
2=Often or very true
",NIH Toolbox Fear-Separation Anxiety Parent Report FF Ages 3-7 v2.0,pedproxanx44,,"studydata['pedproxanx44']=studydata['pedproxanx44'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')",,pedproxanx44,tlbx_fearanx01,pedproxanx44,Fear_SeparationAnxiety.tlbx_fearanx01_template.csv,Fear_SeparationAnxiety,HCPD,Please indicate how often or true the behavior is of your child. Complains of feeling sick before separating from those he/she is close to.,0::2,0=Never or not true; 1=Sometimes or somewhat true; 2=Often or very true
,NIH Toolbox,Emotion,PedProxAnx45,Please indicate how often or true the behavior is of your child.,Is overly upset when leaving someone he/she is close to.,integer,"0=Never or not true
1=Sometimes or somewhat true
2=Often or very true
",NIH Toolbox Fear-Separation Anxiety Parent Report FF Ages 3-7 v2.0,pedproxanx45,,"studydata['pedproxanx45']=studydata['pedproxanx45'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')",,pedproxanx45,tlbx_fearanx01,pedproxanx45,Fear_SeparationAnxiety.tlbx_fearanx01_template.csv,Fear_SeparationAnxiety,HCPD,Please indicate how often or true the behavior is of your child. Is overly upset when leaving someone he/she is close to.,0::2,0=Never or not true; 1=Sometimes or somewhat true; 2=Often or very true
,NIH Toolbox,Emotion,PedProxAnx47,Please indicate how often or true the behavior is of your child.,Is afraid of being away from home.,integer,"0=Never or not true
1=Sometimes or somewhat true
2=Often or very true
",NIH Toolbox Fear-Separation Anxiety Parent Report FF Ages 3-7 v2.0,pedproxanx47,,"studydata['pedproxanx47']=studydata['pedproxanx47'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')",,pedproxanx47,tlbx_fearanx01,pedproxanx47,Fear_SeparationAnxiety.tlbx_fearanx01_template.csv,Fear_SeparationAnxiety,HCPD,Please indicate how often or true the behavior is of your child. Is afraid of being away from home.,0::2,0=Never or not true; 1=Sometimes or somewhat true; 2=Often or very true
,,,,,,,,NIH Toolbox Fear-Separation Anxiety Parent Report FF Ages 3-7 v2.0,Inst,rename to version_form,studydata['version_form']=studydata['Inst'],,version_form,tlbx_fearanx01,version_form,,Fear_SeparationAnxiety,,Form used/assessment name,,
,,,,,,,,NIH Toolbox Fear-Separation Anxiety Parent Report FF Ages 3-7 v2.0,Assessment_Name,"strip 'Assessment' from text, and rename to fneproc","studydata['fneproc']=studydata['Assessment_Name'].str.replace('Assessment ','')",,fneproc,tlbx_fearanx01,fneproc,,Fear_SeparationAnxiety,,name of trial procedure being run,,
,,,,,,,,NIH Toolbox Fear-Separation Anxiety Parent Report FF Ages 3-7 v2.0,respondent,rename to comqother,studydata['comqother']=studydata['respondent'],,comqother,tlbx_fearanx01,comqother,,Fear_SeparationAnxiety,,Respondent - Other (text),,
,,,,,,,,NIH Toolbox Fear-Separation Anxiety Parent Report FF Ages 3-7 v2.0,Fully_Corrected_T_score,,studydata['nih_tlbx_fctsc']=studydata['Fully_Corrected_T_score'],,nih_tlbx_fctsc,tlbx_fearanx01,nih_tlbx_fctsc,Fear_SeparationAnxiety.tlbx_fearanx01_template.csv,Fear_SeparationAnxiety,HCPD,Fully-Corrected T-Score,0::120,
,,,,,,,,NIH Toolbox Fear-Separation Anxiety Parent Report FF Ages 3-7 v2.0,ItmCnt,,"studydata['wcst_ni']=studydata.ItmCnt.round().fillna(-9999).astype(int).astype(str).str.replace('-9999','')",,wcst_ni,tlbx_fearanx01,wcst_ni,Fear_SeparationAnxiety.tlbx_fearanx01_template.csv,Fear_SeparationAnxiety,HCPD,Number of Items,,
,,,,,,,,NIH Toolbox Fear-Separation Anxiety Parent Report FF Ages 3-7 v2.0,Language,,studydata['interview_language']=studydata['Language'],,interview_language,tlbx_fearanx01,interview_language,Fear_SeparationAnxiety.tlbx_fearanx01_template.csv,Fear_SeparationAnxiety,HCPD,Language Used in the Interview,,
,,,,,,,,NIH Toolbox Fear-Separation Anxiety Parent Report FF Ages 3-7 v2.0,RawScore,,"studydata['nih_tlbx_rawscore']=studydata['RawScore'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')",,nih_tlbx_rawscore,tlbx_fearanx01,nih_tlbx_rawscore,Fear_SeparationAnxiety.tlbx_fearanx01_template.csv,Fear_SeparationAnxiety,HCPD,RawScore,,
,,,,,,,,NIH Toolbox Fear-Separation Anxiety Parent Report FF Ages 3-7 v2.0,SE,,studydata['nih_tlbx_se']=studydata['SE'],,nih_tlbx_se,tlbx_fearanx01,nih_tlbx_se,Fear_SeparationAnxiety.tlbx_fearanx01_template.csv,Fear_SeparationAnxiety,HCPD,Standard Error,,999=NA/NK/missing
,,,,,,,,NIH Toolbox Fear-Separation Anxiety Parent Report FF Ages 3-7 v2.0,Theta,,studydata['nih_tlbx_theta']=studydata['Theta'],,nih_tlbx_theta,tlbx_fearanx01,nih_tlbx_theta,Fear_SeparationAnxiety.tlbx_fearanx01_template.csv,Fear_SeparationAnxiety,HCPD,Theta,,999=NA/NK/missing
,,,,,,,,NIH Toolbox Fear-Separation Anxiety Parent Report FF Ages 3-7 v2.0,TScore,,studydata['nih_tlbx_tscore']=studydata['TScore'],,nih_tlbx_tscore,tlbx_fearanx01,nih_tlbx_tscore,Fear_SeparationAnxiety.tlbx_fearanx01_template.csv,Fear_SeparationAnxiety,HCPD,T-score,0::200; 999,999=NA/NK/missing
,,,,,,,,NIH Toolbox Fear-Separation Anxiety Parent Report FF Ages 3-7 v2.0,dummy_00111,,studydata['nih_tlbx_agegencsc']='999',,nih_tlbx_agegencsc,tlbx_fearanx01,nih_tlbx_agegencsc,,Fear_SeparationAnxiety,,Age-Gender-Corrected T-score,0::250; 999,999=NA/NK/missing
,NIH Toolbox,Emotion,Anxiety13,In the past 7 days:,I was short of breath.,integer,"1=Not at all
2=A little bit
3=Moderately
4=Quite a bit
5=Extremely
",NIH Toolbox Fear-Somatic Arousal FF Age 18+ v2.0,anxiety13,,"studydata['idas_56']=studydata['anxiety13'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')",,idas_56,preda01,idas_56,Fear-Somatic.preda01_template,Fear-Somatic,HCPD HCPA,I was short of breath,1::5,1=not at all; 2= a little bit; 3= moderately; 4= quite a bit; 5 = extremely
,NIH Toolbox,Emotion,Anxiety24,In the past 7 days:,I felt nauseous.,integer,"1=Not at all
2=A little bit
3=Moderately
4=Quite a bit
5=Extremely
",NIH Toolbox Fear-Somatic Arousal FF Age 18+ v2.0,anxiety24,,"studydata['anxiety24']=studydata['anxiety24'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')",,anxiety24,preda01,anxiety24,Fear-Somatic.preda01_template,Fear-Somatic,HCPD HCPA,"In the past 7 days, I felt nauseous",1::5,1=not at all; 2= a little bit; 3= moderately; 4= quite a bit; 5 = extremely
,NIH Toolbox,Emotion,Anxiety25,In the past 7 days:,I felt dizzy or lightheaded.,integer,"1=Not at all
2=A little bit
3=Moderately
4=Quite a bit
5=Extremely
",NIH Toolbox Fear-Somatic Arousal FF Age 18+ v2.0,anxiety25,,"studydata['idas_16']=studydata['anxiety25'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')",,idas_16,preda01,idas_16,Fear-Somatic.preda01_template,Fear-Somatic,HCPD HCPA,I felt dizzy or lightheaded,1::5,1=not at all; 2= a little bit; 3= moderately; 4= quite a bit; 5 = extremely
,NIH Toolbox,Emotion,Anxiety28,In the past 7 days:,My muscles twitched or trembled.,integer,"1=Not at all
2=A little bit
3=Moderately
4=Quite a bit
5=Extremely
",NIH Toolbox Fear-Somatic Arousal FF Age 18+ v2.0,anxiety28,,"studydata['anxiety28']=studydata['anxiety28'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')",,anxiety28,preda01,anxiety28,Fear-Somatic.preda01_template,Fear-Somatic,HCPD HCPA,"In the past 7 days, My muscles twitched or trembled",1::5,1=not at all; 2= a little bit; 3= moderately; 4= quite a bit; 5 = extremely
,NIH Toolbox,Emotion,Anxiety31,In the past 7 days:,My heart was racing or pounding.,integer,"1=Not at all
2=A little bit
3=Moderately
4=Quite a bit
5=Extremely
",NIH Toolbox Fear-Somatic Arousal FF Age 18+ v2.0,anxiety31,,"studydata['idas_45']=studydata['anxiety31'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')",,idas_45,preda01,idas_45,Fear-Somatic.preda01_template,Fear-Somatic,HCPD HCPA,My heart was racing or pounding,1::5,1=not at all; 2= a little bit; 3= moderately; 4= quite a bit; 5 = extremely
,NIH Toolbox,Emotion,Anxiety34,In the past 7 days:,My muscles were tense or sore.,integer,"1=Not at all
2=A little bit
3=Moderately
4=Quite a bit
5=Extremely
",NIH Toolbox Fear-Somatic Arousal FF Age 18+ v2.0,anxiety34,,"studydata['anxiety34']=studydata['anxiety34'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')",,anxiety34,preda01,anxiety34,Fear-Somatic.preda01_template,Fear-Somatic,HCPD HCPA,"In the past 7 days, My muscles were tense or sore",1::5,1=not at all; 2= a little bit; 3= moderately; 4= quite a bit; 5 = extremely
,,,,,,,,NIH Toolbox Fear-Somatic Arousal FF Age 18+ v2.0,Inst,rename to version_form,studydata['version_form']=studydata['Inst'],,version_form,preda01,version_form,,Fear-Somatic,,Form used/assessment name,,
,,,,,,,,NIH Toolbox Fear-Somatic Arousal FF Age 18+ v2.0,Assessment_Name,"strip 'Assessment' from text, and rename to fneproc","studydata['fneproc']=studydata['Assessment_Name'].str.replace('Assessment ','')",,fneproc,preda01,fneproc,,Fear-Somatic,,name of trial procedure being run,,
,,,,,,,,NIH Toolbox Fear-Somatic Arousal FF Age 18+ v2.0,respondent,rename to comqother,studydata['comqother']=studydata['respondent'],,comqother,preda01,comqother,,Fear-Somatic,,Respondent - Other (text),,
,,,,,,,,NIH Toolbox Fear-Somatic Arousal FF Age 18+ v2.0,ItmCnt,,"studydata['wcst_ni']=studydata.ItmCnt.round().fillna(-9999).astype(int).astype(str).str.replace('-9999','')",,wcst_ni,preda01,wcst_ni,Fear-Somatic.preda01_template,Fear-Somatic,HCPD HCPA,Number of Items,,
,,,,,,,,NIH Toolbox Fear-Somatic Arousal FF Age 18+ v2.0,Language,,studydata['interview_language']=studydata['Language'],,interview_language,preda01,interview_language,Fear-Somatic.preda01_template,Fear-Somatic,HCPD HCPA,Language Used in the Interview,,
,,,,,,,,NIH Toolbox Fear-Somatic Arousal FF Age 18+ v2.0,RawScore,,"studydata['anx_rs']=studydata.RawScore.round().fillna(-9999).astype(int).astype(str).str.replace('-9999','')",,anx_rs,preda01,anx_rs,Fear-Somatic.preda01_template,Fear-Somatic,HCPD HCPA,PROMIS Anxiety raw score,,
,,,,,,,,NIH Toolbox Fear-Somatic Arousal FF Age 18+ v2.0,SE,,studydata['anx_se']=studydata['SE'],,anx_se,preda01,anx_se,Fear-Somatic.preda01_template,Fear-Somatic,HCPD HCPA,PROMIS Anxiety standard error,,
,,,,,,,,NIH Toolbox Fear-Somatic Arousal FF Age 18+ v2.0,Theta,,studydata['anx_theta']=studydata['Theta'],,anx_theta,preda01,anx_theta,Fear-Somatic.preda01_template,Fear-Somatic,HCPD HCPA,PROMIS Anxiety Theta,,
,,,,,,,,NIH Toolbox Fear-Somatic Arousal FF Age 18+ v2.0,TScore,,studydata['anx_ts']=studydata['TScore'],,anx_ts,preda01,anx_ts,Fear-Somatic.preda01_template,Fear-Somatic,HCPD HCPA,PROMIS Anxiety T score,,
,NIH Toolbox,Cognition,FLANKER_ARROW_PRAC1,FLANKER_ARROW_PRAC1,left-arrow@2x.png,integer,"1=Left
0=Right
",NIH Toolbox Flanker Inhibitory Control and Attention Test Age 12+ v2.1,flanker_arrow_prac1,,"studydata['flanker_arrow_prac1']=studydata['flanker_arrow_prac1'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')",,flanker_arrow_prac1,flanker01,flanker_arrow_prac1,Flanker_12+_flanker01_template.csv,Flanker_12,HCPD HCPA,Flanker Arrow Practice Item 1,0;1,0=Incorrect; 1=Correct
