Inst,template,inst_short,nda_structure,nda_element,hcp_variable,action_request,hcp_variable_upload,specialty_code,requested_python
NIH Toolbox Flanker Inhibitory Control and Attention Test Ages 8-11 v2.1,Flanker_8-11_flanker01_template.csv,Flanker_8-11,Flanker_8-11_flanker01,flanker_arrow_incongruent17,flanker_arrow_incongruent17,,flanker_arrow_incongruent17,,
NIH Toolbox Flanker Inhibitory Control and Attention Test Ages 8-11 v2.1,Flanker_8-11_flanker01_template.csv,Flanker_8-11,Flanker_8-11_flanker01,flanker_arrow_incongruent20,flanker_arrow_incongruent20,,flanker_arrow_incongruent20,,
NIH Toolbox Flanker Inhibitory Control and Attention Test Ages 8-11 v2.1,Flanker_8-11_flanker01_template.csv,Flanker_8-11,Flanker_8-11_flanker01,flanker_arrow_incongruent3,flanker_arrow_incongruent3,,flanker_arrow_incongruent3,,
NIH Toolbox Flanker Inhibitory Control and Attention Test Ages 8-11 v2.1,Flanker_8-11_flanker01_template.csv,Flanker_8-11,Flanker_8-11_flanker01,flanker_arrow_incongruent5,flanker_arrow_incongruent5,,flanker_arrow_incongruent5,,
NIH Toolbox Flanker Inhibitory Control and Attention Test Ages 8-11 v2.1,Flanker_8-11_flanker01_template.csv,Flanker_8-11,Flanker_8-11_flanker01,flanker_arrow_incongruent7,flanker_arrow_incongruent7,,flanker_arrow_incongruent7,,
NIH Toolbox Flanker Inhibitory Control and Attention Test Ages 8-11 v2.1,Flanker_8-11_flanker01_template.csv,Flanker_8-11,Flanker_8-11_flanker01,flanker_arrow_prac1,flanker_arrow_prac1,,flanker_arrow_prac1,,
NIH Toolbox Flanker Inhibitory Control and Attention Test Ages 8-11 v2.1,Flanker_8-11_flanker01_template.csv,Flanker_8-11,Flanker_8-11_flanker01,flanker_arrow_prac2,flanker_arrow_prac2,,flanker_arrow_prac2,,
NIH Toolbox Flanker Inhibitory Control and Attention Test Ages 8-11 v2.1,Flanker_8-11_flanker01_template.csv,Flanker_8-11,Flanker_8-11_flanker01,flanker_arrow_prac3,flanker_arrow_prac3,,flanker_arrow_prac3,,
NIH Toolbox Flanker Inhibitory Control and Attention Test Ages 8-11 v2.1,Flanker_8-11_flanker01_template.csv,Flanker_8-11,Flanker_8-11_flanker01,flanker_arrow_prac4,flanker_arrow_prac4,,flanker_arrow_prac4,,
NIH Toolbox Flanker Inhibitory Control and Attention Test Ages 8-11 v2.1,Flanker_8-11_flanker01_template.csv,Flanker_8-11,Flanker_8-11_flanker01,version_form,Assessment_Name,,Assessment_Name,,
NIH Toolbox Flanker Inhibitory Control and Attention Test Ages 8-11 v2.1,Flanker_8-11_flanker01_template.csv,Flanker_8-11,Flanker_8-11_flanker01,nih_flanker_raw,RawScore,,RawScore,,
NIH Toolbox Flanker Inhibitory Control and Attention Test Ages 8-11 v2.1,Flanker_8-11_flanker01_template.csv,Flanker_8-11,Flanker_8-11_flanker01,wcst_ni,ItmCnt,,ItmCnt,,
NIH Toolbox Flanker Inhibitory Control and Attention Test Ages 8-11 v2.1,Flanker_8-11_flanker01_template.csv,Flanker_8-11,Flanker_8-11_flanker01,interview_language,Language,,Language,,
NIH Toolbox Flanker Inhibitory Control and Attention Test Ages 8-11 v2.1,Flanker_8-11_flanker01_template.csv,Flanker_8-11,Flanker_8-11_flanker01,nih_flanker_computed,Computed_Score,,Computed_Score,,
NIH Toolbox Flanker Inhibitory Control and Attention Test Ages 8-11 v2.1,Flanker_8-11_flanker01_template.csv,Flanker_8-11,Flanker_8-11_flanker01,nih_flanker_unadjusted,Uncorrected_Standard_Score,,Uncorrected_Standard_Score,,
NIH Toolbox Flanker Inhibitory Control and Attention Test Ages 8-11 v2.1,Flanker_8-11_flanker01_template.csv,Flanker_8-11,Flanker_8-11_flanker01,nih_flanker_ageadjusted,Age_Corrected_Standard_Score,,Age_Corrected_Standard_Score,,
NIH Toolbox Friendship FF Age 18+ v2.0,Friendship_18+_tlbx_friend01_template.csv,Friendship_18,Friendship_18+_tlbx_friend01,soc230,soc230,,soc230,,
NIH Toolbox Friendship FF Age 18+ v2.0,Friendship_18+_tlbx_friend01_template.csv,Friendship_18,Friendship_18+_tlbx_friend01,soc231,soc231,,soc231,,
NIH Toolbox Friendship FF Age 18+ v2.0,Friendship_18+_tlbx_friend01_template.csv,Friendship_18,Friendship_18+_tlbx_friend01,soc232,soc232,,soc232,,
NIH Toolbox Friendship FF Age 18+ v2.0,Friendship_18+_tlbx_friend01_template.csv,Friendship_18,Friendship_18+_tlbx_friend01,soc233,soc233,,soc233,,
NIH Toolbox Friendship FF Age 18+ v2.0,Friendship_18+_tlbx_friend01_template.csv,Friendship_18,Friendship_18+_tlbx_friend01,soc237,soc237,,soc237,,
NIH Toolbox Friendship FF Age 18+ v2.0,Friendship_18+_tlbx_friend01_template.csv,Friendship_18,Friendship_18+_tlbx_friend01,soc239,soc239,,soc239,,
NIH Toolbox Friendship FF Age 18+ v2.0,Friendship_18+_tlbx_friend01_template.csv,Friendship_18,Friendship_18+_tlbx_friend01,soc246,soc246,,soc246,,
NIH Toolbox Friendship FF Age 18+ v2.0,Friendship_18+_tlbx_friend01_template.csv,Friendship_18,Friendship_18+_tlbx_friend01,soc247,soc247,,soc247,,
NIH Toolbox Friendship FF Age 18+ v2.0,Friendship_18+_tlbx_friend01_template.csv,Friendship_18,Friendship_18+_tlbx_friend01,version_form,Assessment_Name,,Assessment_Name,,
NIH Toolbox Friendship FF Age 18+ v2.0,Friendship_18+_tlbx_friend01_template.csv,Friendship_18,Friendship_18+_tlbx_friend01,nih_tlbx_rawscore,RawScore,,RawScore,,
NIH Toolbox Friendship FF Age 18+ v2.0,Friendship_18+_tlbx_friend01_template.csv,Friendship_18,Friendship_18+_tlbx_friend01,nih_tlbx_theta,Theta,,Theta,,
NIH Toolbox Friendship FF Age 18+ v2.0,Friendship_18+_tlbx_friend01_template.csv,Friendship_18,Friendship_18+_tlbx_friend01,nih_tlbx_tscore,TScore,,TScore,,
NIH Toolbox Friendship FF Age 18+ v2.0,Friendship_18+_tlbx_friend01_template.csv,Friendship_18,Friendship_18+_tlbx_friend01,nih_tlbx_se,SE,,SE,,
NIH Toolbox Friendship FF Age 18+ v2.0,Friendship_18+_tlbx_friend01_template.csv,Friendship_18,Friendship_18+_tlbx_friend01,wcst_ni,ItmCnt,,ItmCnt,,
NIH Toolbox Friendship FF Age 18+ v2.0,Friendship_18+_tlbx_friend01_template.csv,Friendship_18,Friendship_18+_tlbx_friend01,interview_language,Language,,Language,,
NIH Toolbox Grip Strength Test Age 3+ v2.0,GripStrength_tlbx_motor01_template.csv,Grip_Strength,tlbx_motor01,msgs_dominanttrial,msgs_dominanttrial,,msgs_dominanttrial,,
NIH Toolbox Grip Strength Test Age 3+ v2.0,GripStrength_tlbx_motor01_template.csv,Grip_Strength,tlbx_motor01,msgs_nondominanttrial,msgs_nondominanttrial,,msgs_nondominanttrial,,
NIH Toolbox Grip Strength Test Age 3+ v2.0,GripStrength_tlbx_motor01_template.csv,Grip_Strength,tlbx_motor01,version_form,Assessment_Name,,assessment_name,,studydata['assessment_name']=studydata['Assessment_Name']
NIH Toolbox Grip Strength Test Age 3+ v2.0,GripStrength_tlbx_motor01_template.csv,Grip_Strength,tlbx_motor01,wcst_ni,ItmCnt,,ItmCnt,,
NIH Toolbox Grip Strength Test Age 3+ v2.0,GripStrength_tlbx_motor01_template.csv,Grip_Strength,tlbx_motor01,interview_language,Language,,Language,,
NIH Toolbox Grip Strength Test Age 3+ v2.0,GripStrength_tlbx_motor01_template.csv,Grip_Strength,tlbx_motor01,grip_standardsc_dom,Uncorrected_Standard_Scores_Dominant,,Uncorrected_Standard_Scores_Dominant,,
NIH Toolbox Grip Strength Test Age 3+ v2.0,GripStrength_tlbx_motor01_template.csv,Grip_Strength,tlbx_motor01,nih_tlbx_agecsc_dominant,Age_Corrected_Standard_Scores_Dominant,,Age_Corrected_Standard_Scores_Dominant,,
NIH Toolbox Grip Strength Test Age 3+ v2.0,GripStrength_tlbx_motor01_template.csv,Grip_Strength,tlbx_motor01,grip_dom_pctl,National_Percentile__age_adjusted__Dominant,,grip_dom_pctl,,studydata['grip_dom_pctl']=studydata['National_Percentile__age_adjusted__Dominant']
NIH Toolbox Grip Strength Test Age 3+ v2.0,GripStrength_tlbx_motor01_template.csv,Grip_Strength,tlbx_motor01,grip_standardsc_nondom,Uncorrected_Standard_Scores_Non_Dominant,,Uncorrected_Standard_Scores_Non_Dominant,,
NIH Toolbox Grip Strength Test Age 3+ v2.0,GripStrength_tlbx_motor01_template.csv,Grip_Strength,tlbx_motor01,nih_tlbx_agecsc_nondom,Age_Corrected_Standard_Scores_Non_Dominant,,Age_Corrected_Standard_Scores_Non_Dominant,,
NIH Toolbox Grip Strength Test Age 3+ v2.0,GripStrength_tlbx_motor01_template.csv,Grip_Strength,tlbx_motor01,grip_nondom_pctl,National_Percentile__age_adjusted__Non_Dominant,,grip_nondom_pctl,,studydata['grip_nondom_pctl']=studydata['National_Percentile__age_adjusted__Non_Dominant']
NIH Toolbox Grip Strength Test Age 3+ v2.0,GripStrength_tlbx_motor01_template.csv,Grip_Strength,tlbx_motor01,nih_tlbx_domsc,Dominant_Score,,Dominant_Score,,
NIH Toolbox Grip Strength Test Age 3+ v2.0,GripStrength_tlbx_motor01_template.csv,Grip_Strength,tlbx_motor01,nih_tlbx_nondomsc,Non_Dominant_Score,,Non_Dominant_Score,,
NIH Toolbox Instrumental Support FF Age 18+ v2.0,InstrumentalSupport_18+_tlbx_emsup01_template.csv,InstrumentalSupport_18,tlbx_emsup01,soc210,soc210,,soc210,,
NIH Toolbox Instrumental Support FF Age 18+ v2.0,InstrumentalSupport_18+_tlbx_emsup01_template.csv,InstrumentalSupport_18,tlbx_emsup01,soc212,soc212,,soc212,,
NIH Toolbox Instrumental Support FF Age 18+ v2.0,InstrumentalSupport_18+_tlbx_emsup01_template.csv,InstrumentalSupport_18,tlbx_emsup01,soc213,soc213,,soc213,,
NIH Toolbox Instrumental Support FF Age 18+ v2.0,InstrumentalSupport_18+_tlbx_emsup01_template.csv,InstrumentalSupport_18,tlbx_emsup01,soc214,soc214,,soc214,,
NIH Toolbox Instrumental Support FF Age 18+ v2.0,InstrumentalSupport_18+_tlbx_emsup01_template.csv,InstrumentalSupport_18,tlbx_emsup01,soc215,soc215,,soc215,,
NIH Toolbox Instrumental Support FF Age 18+ v2.0,InstrumentalSupport_18+_tlbx_emsup01_template.csv,InstrumentalSupport_18,tlbx_emsup01,soc216,soc216,,soc216,,
NIH Toolbox Instrumental Support FF Age 18+ v2.0,InstrumentalSupport_18+_tlbx_emsup01_template.csv,InstrumentalSupport_18,tlbx_emsup01,soc217,soc217,,soc217,,
NIH Toolbox Instrumental Support FF Age 18+ v2.0,InstrumentalSupport_18+_tlbx_emsup01_template.csv,InstrumentalSupport_18,tlbx_emsup01,soc218,soc218,,soc218,,
NIH Toolbox Instrumental Support FF Age 18+ v2.0,InstrumentalSupport_18+_tlbx_emsup01_template.csv,InstrumentalSupport_18,tlbx_emsup01,version_form,Assessment_Name,,Assessment_Name,,
NIH Toolbox Instrumental Support FF Age 18+ v2.0,InstrumentalSupport_18+_tlbx_emsup01_template.csv,InstrumentalSupport_18,tlbx_emsup01,nih_tlbx_rawscore,RawScore,,RawScore,,
NIH Toolbox Instrumental Support FF Age 18+ v2.0,InstrumentalSupport_18+_tlbx_emsup01_template.csv,InstrumentalSupport_18,tlbx_emsup01,nih_tlbx_theta,Theta,,Theta,,
NIH Toolbox Instrumental Support FF Age 18+ v2.0,InstrumentalSupport_18+_tlbx_emsup01_template.csv,InstrumentalSupport_18,tlbx_emsup01,nih_tlbx_tscore,TScore,,TScore,,
NIH Toolbox Instrumental Support FF Age 18+ v2.0,InstrumentalSupport_18+_tlbx_emsup01_template.csv,InstrumentalSupport_18,tlbx_emsup01,nih_tlbx_se,SE,,SE,,
NIH Toolbox Instrumental Support FF Age 18+ v2.0,InstrumentalSupport_18+_tlbx_emsup01_template.csv,InstrumentalSupport_18,tlbx_emsup01,wcst_ni,ItmCnt,,ItmCnt,,
NIH Toolbox Instrumental Support FF Age 18+ v2.0,InstrumentalSupport_18+_tlbx_emsup01_template.csv,InstrumentalSupport_18,tlbx_emsup01,primary_language,Language,,Language,,
NIH Toolbox General Life Satisfaction CAT Age 18+ v2.0,Life_Satisfaction_18+_tlbx_wellbeing01_template.csv,Life_Satisfaction_18,Life_Satisfaction_18+_tlbx_wellbeing01,pa045m,pa045m,,pa045m,,
NIH Toolbox General Life Satisfaction CAT Age 18+ v2.0,Life_Satisfaction_18+_tlbx_wellbeing01_template.csv,Life_Satisfaction_18,Life_Satisfaction_18+_tlbx_wellbeing01,pa046,pa046,,pa046,,
NIH Toolbox General Life Satisfaction CAT Age 18+ v2.0,Life_Satisfaction_18+_tlbx_wellbeing01_template.csv,Life_Satisfaction_18,Life_Satisfaction_18+_tlbx_wellbeing01,pa047,pa047,,pa047,,
NIH Toolbox General Life Satisfaction CAT Age 18+ v2.0,Life_Satisfaction_18+_tlbx_wellbeing01_template.csv,Life_Satisfaction_18,Life_Satisfaction_18+_tlbx_wellbeing01,pa048,pa048,,pa048,,
NIH Toolbox General Life Satisfaction CAT Age 18+ v2.0,Life_Satisfaction_18+_tlbx_wellbeing01_template.csv,Life_Satisfaction_18,Life_Satisfaction_18+_tlbx_wellbeing01,pa049m,pa049m,,pa049m,,
NIH Toolbox General Life Satisfaction CAT Age 18+ v2.0,Life_Satisfaction_18+_tlbx_wellbeing01_template.csv,Life_Satisfaction_18,Life_Satisfaction_18+_tlbx_wellbeing01,pa066,pa066,,pa066,,
NIH Toolbox General Life Satisfaction CAT Age 18+ v2.0,Life_Satisfaction_18+_tlbx_wellbeing01_template.csv,Life_Satisfaction_18,Life_Satisfaction_18+_tlbx_wellbeing01,pa067,pa067,,pa067,,
NIH Toolbox General Life Satisfaction CAT Age 18+ v2.0,Life_Satisfaction_18+_tlbx_wellbeing01_template.csv,Life_Satisfaction_18,Life_Satisfaction_18+_tlbx_wellbeing01,pa069,pa069,,pa069,,
NIH Toolbox General Life Satisfaction CAT Age 18+ v2.0,Life_Satisfaction_18+_tlbx_wellbeing01_template.csv,Life_Satisfaction_18,Life_Satisfaction_18+_tlbx_wellbeing01,pa070,pa070,,pa070,,
NIH Toolbox General Life Satisfaction CAT Age 18+ v2.0,Life_Satisfaction_18+_tlbx_wellbeing01_template.csv,Life_Satisfaction_18,Life_Satisfaction_18+_tlbx_wellbeing01,pa071,pa071,,pa071,,
NIH Toolbox General Life Satisfaction CAT Age 18+ v2.0,Life_Satisfaction_18+_tlbx_wellbeing01_template.csv,Life_Satisfaction_18,Life_Satisfaction_18+_tlbx_wellbeing01,version_form,Assessment_Name,,Assessment_Name,,
NIH Toolbox General Life Satisfaction CAT Age 18+ v2.0,Life_Satisfaction_18+_tlbx_wellbeing01_template.csv,Life_Satisfaction_18,Life_Satisfaction_18+_tlbx_wellbeing01,nih_tlbx_rawscore,RawScore,,RawScore,,
NIH Toolbox General Life Satisfaction CAT Age 18+ v2.0,Life_Satisfaction_18+_tlbx_wellbeing01_template.csv,Life_Satisfaction_18,Life_Satisfaction_18+_tlbx_wellbeing01,nih_tlbx_theta,Theta,,Theta,,
NIH Toolbox General Life Satisfaction CAT Age 18+ v2.0,Life_Satisfaction_18+_tlbx_wellbeing01_template.csv,Life_Satisfaction_18,Life_Satisfaction_18+_tlbx_wellbeing01,nih_tlbx_tscore,TScore,,TScore,,
NIH Toolbox General Life Satisfaction CAT Age 18+ v2.0,Life_Satisfaction_18+_tlbx_wellbeing01_template.csv,Life_Satisfaction_18,Life_Satisfaction_18+_tlbx_wellbeing01,nih_tlbx_se,SE,,SE,,
NIH Toolbox General Life Satisfaction CAT Age 18+ v2.0,Life_Satisfaction_18+_tlbx_wellbeing01_template.csv,Life_Satisfaction_18,Life_Satisfaction_18+_tlbx_wellbeing01,wcst_ni,ItmCnt,,ItmCnt,,
NIH Toolbox General Life Satisfaction CAT Age 18+ v2.0,Life_Satisfaction_18+_tlbx_wellbeing01_template.csv,Life_Satisfaction_18,Life_Satisfaction_18+_tlbx_wellbeing01,primary_language,Language,,Language,,
NIH Toolbox General Life Satisfaction FF Ages 8-12 v2.0,Life_Satisfaction_8-12_tlbx_wellbeing01_template.csv,Life_Satisfaction_8-12,Life_Satisfaction_8-12_tlbx_wellbeing01,pa066,pa066,,pa066,,
NIH Toolbox General Life Satisfaction FF Ages 8-12 v2.0,Life_Satisfaction_8-12_tlbx_wellbeing01_template.csv,Life_Satisfaction_8-12,Life_Satisfaction_8-12_tlbx_wellbeing01,pa067,pa067,,pa067,,
NIH Toolbox General Life Satisfaction FF Ages 8-12 v2.0,Life_Satisfaction_8-12_tlbx_wellbeing01_template.csv,Life_Satisfaction_8-12,Life_Satisfaction_8-12_tlbx_wellbeing01,pa069,pa069,,pa069,,
NIH Toolbox General Life Satisfaction FF Ages 8-12 v2.0,Life_Satisfaction_8-12_tlbx_wellbeing01_template.csv,Life_Satisfaction_8-12,Life_Satisfaction_8-12_tlbx_wellbeing01,pa070,pa070,,pa070,,
NIH Toolbox General Life Satisfaction FF Ages 8-12 v2.0,Life_Satisfaction_8-12_tlbx_wellbeing01_template.csv,Life_Satisfaction_8-12,Life_Satisfaction_8-12_tlbx_wellbeing01,pa071,pa071,,pa071,,
NIH Toolbox General Life Satisfaction FF Ages 8-12 v2.0,Life_Satisfaction_8-12_tlbx_wellbeing01_template.csv,Life_Satisfaction_8-12,Life_Satisfaction_8-12_tlbx_wellbeing01,version_form,Assessment_Name,,Assessment_Name,,
NIH Toolbox General Life Satisfaction FF Ages 8-12 v2.0,Life_Satisfaction_8-12_tlbx_wellbeing01_template.csv,Life_Satisfaction_8-12,Life_Satisfaction_8-12_tlbx_wellbeing01,nih_tlbx_rawscore,RawScore,,RawScore,,
NIH Toolbox General Life Satisfaction FF Ages 8-12 v2.0,Life_Satisfaction_8-12_tlbx_wellbeing01_template.csv,Life_Satisfaction_8-12,Life_Satisfaction_8-12_tlbx_wellbeing01,nih_tlbx_theta,Theta,,Theta,,
NIH Toolbox General Life Satisfaction FF Ages 8-12 v2.0,Life_Satisfaction_8-12_tlbx_wellbeing01_template.csv,Life_Satisfaction_8-12,Life_Satisfaction_8-12_tlbx_wellbeing01,nih_tlbx_tscore,TScore,,TScore,,
NIH Toolbox General Life Satisfaction FF Ages 8-12 v2.0,Life_Satisfaction_8-12_tlbx_wellbeing01_template.csv,Life_Satisfaction_8-12,Life_Satisfaction_8-12_tlbx_wellbeing01,nih_tlbx_se,SE,,SE,,
NIH Toolbox General Life Satisfaction FF Ages 8-12 v2.0,Life_Satisfaction_8-12_tlbx_wellbeing01_template.csv,Life_Satisfaction_8-12,Life_Satisfaction_8-12_tlbx_wellbeing01,wcst_ni,ItmCnt,,ItmCnt,,
NIH Toolbox General Life Satisfaction FF Ages 8-12 v2.0,Life_Satisfaction_8-12_tlbx_wellbeing01_template.csv,Life_Satisfaction_8-12,Life_Satisfaction_8-12_tlbx_wellbeing01,primary_language,Language,,Language,,
NIH Toolbox General Life Satisfaction FF Ages 8-12 v2.0,Life_Satisfaction_8-12_tlbx_wellbeing01_template.csv,Life_Satisfaction_8-12,Life_Satisfaction_8-12_tlbx_wellbeing01,nih_tlbx_fctsc,Fully_Corrected_T_score,,Fully_Corrected_T_score,,
NIH Toolbox Loneliness FF Age 18+ v2.0,Loneliness_18+_prsi01_template.csv,Loneliness_18,prsi01,soc253,soc253,,soc253,,
NIH Toolbox Loneliness FF Age 18+ v2.0,Loneliness_18+_prsi01_template.csv,Loneliness_18,prsi01,soc254,soc254,,soc254,,
NIH Toolbox Loneliness FF Age 18+ v2.0,Loneliness_18+_prsi01_template.csv,Loneliness_18,prsi01,ucla7x2,soc255,,soc255,,
NIH Toolbox Loneliness FF Age 18+ v2.0,Loneliness_18+_prsi01_template.csv,Loneliness_18,prsi01,soc260,soc260,,soc260,,
NIH Toolbox Loneliness FF Age 18+ v2.0,Loneliness_18+_prsi01_template.csv,Loneliness_18,prsi01,soc261,soc261,,soc261,,
NIH Toolbox Loneliness FF Age 18+ v2.0,Loneliness_18+_prsi01_template.csv,Loneliness_18,prsi01,version_form,Assessment_Name,,Assessment_Name,,
NIH Toolbox Loneliness FF Age 18+ v2.0,Loneliness_18+_prsi01_template.csv,Loneliness_18,prsi01,soil_rs,RawScore,,RawScore,,
NIH Toolbox Loneliness FF Age 18+ v2.0,Loneliness_18+_prsi01_template.csv,Loneliness_18,prsi01,nih_tlbx_theta,Theta,,Theta,,
NIH Toolbox Loneliness FF Age 18+ v2.0,Loneliness_18+_prsi01_template.csv,Loneliness_18,prsi01,soil_ts,TScore,,TScore,,
NIH Toolbox Loneliness FF Age 18+ v2.0,Loneliness_18+_prsi01_template.csv,Loneliness_18,prsi01,soil_se,SE,,SE,,
NIH Toolbox Loneliness FF Age 18+ v2.0,Loneliness_18+_prsi01_template.csv,Loneliness_18,prsi01,wcst_ni,ItmCnt,,ItmCnt,,
NIH Toolbox Loneliness FF Age 18+ v2.0,Loneliness_18+_prsi01_template.csv,Loneliness_18,prsi01,interview_language,Language,,Language,,
NIH Toolbox Loneliness FF Ages 8-17 v2.0,Loneliness_8-17_prsi01_template.csv,Loneliness_8-17,prsi01,soc252,soc252,,soc252,,
NIH Toolbox Loneliness FF Ages 8-17 v2.0,Loneliness_8-17_prsi01_template.csv,Loneliness_8-17,prsi01,soc253,soc253,,soc253,,
NIH Toolbox Loneliness FF Ages 8-17 v2.0,Loneliness_8-17_prsi01_template.csv,Loneliness_8-17,prsi01,soc254,soc254,,soc254,,
NIH Toolbox Loneliness FF Ages 8-17 v2.0,Loneliness_8-17_prsi01_template.csv,Loneliness_8-17,prsi01,soc258,soc258,,soc258,,
NIH Toolbox Loneliness FF Ages 8-17 v2.0,Loneliness_8-17_prsi01_template.csv,Loneliness_8-17,prsi01,soc259,soc259,,soc259,,
NIH Toolbox Loneliness FF Ages 8-17 v2.0,Loneliness_8-17_prsi01_template.csv,Loneliness_8-17,prsi01,soc260,soc260,,soc260,,
NIH Toolbox Loneliness FF Ages 8-17 v2.0,Loneliness_8-17_prsi01_template.csv,Loneliness_8-17,prsi01,soc261,soc261,,soc261,,
NIH Toolbox Loneliness FF Ages 8-17 v2.0,Loneliness_8-17_prsi01_template.csv,Loneliness_8-17,prsi01,version_form,Assessment_Name,,Assessment_Name,,
NIH Toolbox Loneliness FF Ages 8-17 v2.0,Loneliness_8-17_prsi01_template.csv,Loneliness_8-17,prsi01,soil_rs,RawScore,,RawScore,,
NIH Toolbox Loneliness FF Ages 8-17 v2.0,Loneliness_8-17_prsi01_template.csv,Loneliness_8-17,prsi01,nih_tlbx_theta,Theta,,Theta,,
NIH Toolbox Loneliness FF Ages 8-17 v2.0,Loneliness_8-17_prsi01_template.csv,Loneliness_8-17,prsi01,soil_ts,TScore,,TScore,,
NIH Toolbox Loneliness FF Ages 8-17 v2.0,Loneliness_8-17_prsi01_template.csv,Loneliness_8-17,prsi01,soil_se,SE,,SE,,
NIH Toolbox Loneliness FF Ages 8-17 v2.0,Loneliness_8-17_prsi01_template.csv,Loneliness_8-17,prsi01,wcst_ni,ItmCnt,,ItmCnt,,
NIH Toolbox Loneliness FF Ages 8-17 v2.0,Loneliness_8-17_prsi01_template.csv,Loneliness_8-17,prsi01,interview_language,Language,,Language,,
NIH Toolbox Loneliness FF Ages 8-17 v2.0,Loneliness_8-17_prsi01_template.csv,Loneliness_8-17,prsi01,nih_tlbx_fctsc,Fully_Corrected_T_score,,Fully_Corrected_T_score,,
NIH Toolbox Meaning and Purpose CAT Age 18+ v2.0,Meaning&Purpose_tlbx_wellbeing01_template.csv,Meaning&Purpose,Meaning&Purpose_tlbx_wellbeing01,pa050,pa050,,pa050,,
NIH Toolbox Meaning and Purpose CAT Age 18+ v2.0,Meaning&Purpose_tlbx_wellbeing01_template.csv,Meaning&Purpose,Meaning&Purpose_tlbx_wellbeing01,pa051,pa051,,pa051,,
NIH Toolbox Meaning and Purpose CAT Age 18+ v2.0,Meaning&Purpose_tlbx_wellbeing01_template.csv,Meaning&Purpose,Meaning&Purpose_tlbx_wellbeing01,pa052,pa052,,pa052,,
NIH Toolbox Meaning and Purpose CAT Age 18+ v2.0,Meaning&Purpose_tlbx_wellbeing01_template.csv,Meaning&Purpose,Meaning&Purpose_tlbx_wellbeing01,pa053,pa053,,pa053,,
NIH Toolbox Meaning and Purpose CAT Age 18+ v2.0,Meaning&Purpose_tlbx_wellbeing01_template.csv,Meaning&Purpose,Meaning&Purpose_tlbx_wellbeing01,pa054,pa054,,pa054,,
NIH Toolbox Meaning and Purpose CAT Age 18+ v2.0,Meaning&Purpose_tlbx_wellbeing01_template.csv,Meaning&Purpose,Meaning&Purpose_tlbx_wellbeing01,pa057,pa057,,pa057,,
NIH Toolbox Meaning and Purpose CAT Age 18+ v2.0,Meaning&Purpose_tlbx_wellbeing01_template.csv,Meaning&Purpose,Meaning&Purpose_tlbx_wellbeing01,pa059,pa059,,pa059,,
NIH Toolbox Meaning and Purpose CAT Age 18+ v2.0,Meaning&Purpose_tlbx_wellbeing01_template.csv,Meaning&Purpose,Meaning&Purpose_tlbx_wellbeing01,pa060,pa060,,pa060,,
NIH Toolbox Meaning and Purpose CAT Age 18+ v2.0,Meaning&Purpose_tlbx_wellbeing01_template.csv,Meaning&Purpose,Meaning&Purpose_tlbx_wellbeing01,pa061,pa061,,pa061,,
NIH Toolbox Meaning and Purpose CAT Age 18+ v2.0,Meaning&Purpose_tlbx_wellbeing01_template.csv,Meaning&Purpose,Meaning&Purpose_tlbx_wellbeing01,pa062,pa062,,pa062,,
NIH Toolbox Meaning and Purpose CAT Age 18+ v2.0,Meaning&Purpose_tlbx_wellbeing01_template.csv,Meaning&Purpose,Meaning&Purpose_tlbx_wellbeing01,pa063,pa063,,pa063,,
NIH Toolbox Meaning and Purpose CAT Age 18+ v2.0,Meaning&Purpose_tlbx_wellbeing01_template.csv,Meaning&Purpose,Meaning&Purpose_tlbx_wellbeing01,pa065,pa065,,pa065,,
NIH Toolbox Meaning and Purpose CAT Age 18+ v2.0,Meaning&Purpose_tlbx_wellbeing01_template.csv,Meaning&Purpose,Meaning&Purpose_tlbx_wellbeing01,pa073,pa073,,pa073,,
NIH Toolbox Meaning and Purpose CAT Age 18+ v2.0,Meaning&Purpose_tlbx_wellbeing01_template.csv,Meaning&Purpose,Meaning&Purpose_tlbx_wellbeing01,pa074,pa074,,pa074,,
NIH Toolbox Meaning and Purpose CAT Age 18+ v2.0,Meaning&Purpose_tlbx_wellbeing01_template.csv,Meaning&Purpose,Meaning&Purpose_tlbx_wellbeing01,pa075m,pa075m,,pa075m,,
NIH Toolbox Meaning and Purpose CAT Age 18+ v2.0,Meaning&Purpose_tlbx_wellbeing01_template.csv,Meaning&Purpose,Meaning&Purpose_tlbx_wellbeing01,pa076,pa076,,pa076,,
NIH Toolbox Meaning and Purpose CAT Age 18+ v2.0,Meaning&Purpose_tlbx_wellbeing01_template.csv,Meaning&Purpose,Meaning&Purpose_tlbx_wellbeing01,version_form,Assessment_Name,,Assessment_Name,,
NIH Toolbox Meaning and Purpose CAT Age 18+ v2.0,Meaning&Purpose_tlbx_wellbeing01_template.csv,Meaning&Purpose,Meaning&Purpose_tlbx_wellbeing01,nih_tlbx_rawscore,RawScore,,RawScore,,
NIH Toolbox Meaning and Purpose CAT Age 18+ v2.0,Meaning&Purpose_tlbx_wellbeing01_template.csv,Meaning&Purpose,Meaning&Purpose_tlbx_wellbeing01,nih_tlbx_theta,Theta,,Theta,,
